Staat,Hauptstadt,Kontinent
Montenegro,Podgorica,Europa
Mosambik,Maputo,Afrika
Myanmar,Pyinmana Naypyidaw,Asien
Namibia,Windhoek,Afrika
Nauru,Yaren,Australien und Ozeanien
Nepal,Kathmandu,Asien
Neuseeland,Wellington,Australien und Ozeanien
Nicaragua,Managua,Amerika/Mittelamerika
Niederlande,Amsterdam,Europa
Niederlande,Den Haag,Europa
Niger,Niamey,Afrika
Nigeria,Abuja,Afrika
Norwegen,Oslo,Europa
Oman,Maskat,Asien
Österreich,Wien,Europa
Osttimor,Dili,Asien
Pakistan,Islamabad,Asien
Palau,Melekeok,Australien und Ozeanien
Panama,Panama-Stadt,Amerika/Mittelamerika
Papua-Neuguinea,Port Moresby,Australien und Ozeanien
Paraguay,Asunción,Amerika/Südamerika
Peru,Lima,Amerika/Südamerika
Philippinen,Manila,Asien
Polen,Warschau,Europa
Portugal,Lissabon,Europa
Ruanda,Kigali,Afrika
Rumänien,Bukarest,Europa
Russland,Moskau,Europa
Salomonen,Honiara,Australien und Ozeanien
Sambia,Lusaka,Afrika
Samoa,Apia,Australien und Ozeanien
San Marino,San Marino,Europa
Saudi-Arabien,Riad,Asien
Schweden,Stockholm,Europa
Schweiz,Bern,Europa
Senegal,Dakar,Afrika
Serbien,Belgrad,Europa
Seychellen,Victoria,Afrika
Sierra Leone,Freetown,Afrika
Simbabwe,Harare,Afrika
Singapur,Singapur,Asien
Slowakei,Bratislava (Pressburg),Europa
Slowenien,Ljubljana (Laibach),Europa
Somalia,Mogadischu,Afrika
Spanien,Madrid,Europa
Sri Lanka,Colombo,Asien
St. Kitts und Nevis,Basseterre,Amerika/Westindien
St. Lucia,Castries,Amerika/Westindien
St. Vincent und die Grenadinen,Kingstown,Amerika/Westindien
Südafrika,Pretoria (Tshwane),Afrika
Sudan,Khartum,Afrika
Südsudan,Juba,Afrika
Suriname,Paramaribo,Amerika/Südamerika
Swasiland,Mbabane,Afrika
Syrien,Damaskus,Asien
São Tomé und Príncipe,São Tomé,Afrika
Tadschikistan,Duschanbe,Asien
Tansania,Dodoma,Afrika
Thailand,Bangkok,Asien
Togo,Lomé,Afrika
Tonga,Nukuʻalofa,Australien und Ozeanien
Trinidad und Tobago,Port-of-Spain,Amerika/Westindien
Tschad,N’Djamena,Afrika
Tschechien,Prag,Europa
Tunesien,Tunis,Afrika
Türkei,Ankara,Asien
Turkmenistan,Aschgabat,Asien
Tuvalu,Funafuti,Australien und Ozeanien
Uganda,Kampala,Afrika
Ukraine,Kiew,Europa
Ungarn,Budapest,Europa
Uruguay,Montevideo,Amerika/Südamerika
Usbekistan,Taschkent,Asien
Vanuatu,Port Vila,Australien und Ozeanien
Vatikanstadt,keine Hauptstadt,Europa
Venezuela,Caracas,Amerika/Südamerika
Vereinigte Arabische Emirate,Abu Dhabi,Asien
Vereinigte Staaten von Amerika,"Washington, D.C.",Amerika/Nordamerika
Vereinigtes Königreich,London,Europa
Vietnam,Hanoi,Asien
Weißrussland,Minsk,Europa
Zentralafrikanische Republik,Bangui,Afrika
Zypern,Nikosia,Asien
Abchasien,Sochumi,
Arzach,Stepanakert,
Cookinseln,Avarua,
Kosovo,Pristina,
Niue,Alofi,
Nordzypern,Nord-Nikosia,
Palästina,Ostjerusalem,
Palästina,Ramallah,
Somaliland,Hargeysa,
Südossetien,Zchinwali,
Taiwan,Taipeh,
Transnistrien,Tiraspol,
Westsahara ,El Aaiún,
Westsahara,Tifariti,
